workerid,proliferate.condition,time_in_minutes,error
210,experiment_09,12.63025,
465,experiment_09,25.898666666666667,
233,experiment_09,4.182483333333334,
186,experiment_09,41.648,
272,experiment_09,25.7145,
174,experiment_09,22.371783333333333,
248,experiment_09,9.798366666666666,
336,experiment_09,6.258133333333333,
365,experiment_09,14.093883333333334,
548,experiment_09,15.2022,
264,experiment_09,13.311233333333334,
482,experiment_09,5.4561166666666665,
322,experiment_09,22.024916666666662,
240,experiment_09,10.4413,
494,experiment_09,10.418933333333332,
522,experiment_09,15.507516666666668,
160,experiment_09,9.263183333333334,
378,experiment_09,8.14835,
438,experiment_09,7.503066666666666,
398,experiment_09,24.5317,
